year,month,area,uf,className,numPol
2019/2020,8,5.2,PA,MINERACAO,58
2015/2016,8,1.96,AM,MINERACAO,15
2015/2016,8,0.2,MT,MINERACAO,2
2015/2016,8,11.86,PA,MINERACAO,101
2015/2016,8,0.11,RO,MINERACAO,1
2015/2016,9,0.11,AM,MINERACAO,1
2015/2016,9,0.27,MT,MINERACAO,3
2015/2016,9,2.82,PA,MINERACAO,32
2015/2016,10,0.29,PA,MINERACAO,4
2015/2016,11,0.35,PA,MINERACAO,5
2015/2016,3,0.07,MT,MINERACAO,1
2015/2016,3,1.81,PA,MINERACAO,16
2015/2016,4,7.37,PA,MINERACAO,60
2015/2016,5,0.4,MT,MINERACAO,2
2015/2016,5,3.61,PA,MINERACAO,31
2015/2016,5,0.1,RO,MINERACAO,1
2015/2016,6,0.16,AM,MINERACAO,2
2015/2016,6,0.96,MT,MINERACAO,8
2015/2016,6,10.87,PA,MINERACAO,92
2015/2016,6,0.15,RO,MINERACAO,2
2015/2016,7,5.25,PA,MINERACAO,41
2015/2016,7,0.08,RO,MINERACAO,1
2016/2017,8,0.11,AM,MINERACAO,1
2016/2017,8,0.66,MT,MINERACAO,3
2016/2017,8,1.51,PA,MINERACAO,12
2016/2017,9,0.17,AM,MINERACAO,2
2016/2017,9,0.68,MT,MINERACAO,2
2016/2017,9,2.12,PA,MINERACAO,23
2025/2026,9,1.67,PA,MINERACAO,19
2016/2017,10,0.1,AM,MINERACAO,1
2016/2017,10,0.94,MT,MINERACAO,9
2016/2017,10,7.83,PA,MINERACAO,64
2016/2017,11,0.51,MT,MINERACAO,4
2016/2017,11,1.11,PA,MINERACAO,12
2016/2017,2,0.14,MT,MINERACAO,1
2025/2026,9,0.19,MT,MINERACAO,3
2016/2017,3,0.39,MT,MINERACAO,3
2016/2017,4,0.4,MT,MINERACAO,2
2016/2017,4,1.16,PA,MINERACAO,8
2016/2017,5,0.23,AM,MINERACAO,2
2016/2017,5,0.6,MT,MINERACAO,7
2016/2017,5,14.48,PA,MINERACAO,113
2016/2017,6,0.12,AM,MINERACAO,1
2016/2017,6,1.09,MT,MINERACAO,10
2016/2017,6,18.21,PA,MINERACAO,160
2025/2026,9,4.24,AP,MINERACAO,45
2016/2017,7,0.16,MT,MINERACAO,2
2016/2017,7,1.97,PA,MINERACAO,19
2025/2026,9,0.44,AM,MINERACAO,4
2016/2017,7,0.18,RO,MINERACAO,2
2017/2018,8,0.07,MT,MINERACAO,1
2017/2018,8,1.24,PA,MINERACAO,14
2017/2018,8,0.11,RO,MINERACAO,1
2017/2018,9,0.12,MT,MINERACAO,1
2017/2018,9,1.81,PA,MINERACAO,16
2017/2018,10,0.07,AM,MINERACAO,1
2017/2018,10,2.54,PA,MINERACAO,24
2017/2018,11,0.2,AM,MINERACAO,2
2017/2018,11,3.37,PA,MINERACAO,36
2017/2018,12,0.07,AM,MINERACAO,1
2017/2018,12,0.66,MT,MINERACAO,8
2017/2018,12,2.88,PA,MINERACAO,28
2017/2018,12,0.08,RO,MINERACAO,2
2017/2018,1,0.17,AM,MINERACAO,1
2017/2018,1,0.29,MT,MINERACAO,3
2025/2026,8,0.11,RO,MINERACAO,2
2017/2018,1,5.2,PA,MINERACAO,50
2017/2018,2,0.18,AM,MINERACAO,2
2017/2018,2,0.25,PA,MINERACAO,2
2017/2018,3,0.06,MA,MINERACAO,1
2017/2018,3,0.22,MT,MINERACAO,2
2017/2018,3,4.16,PA,MINERACAO,41
2025/2026,8,4.12,PA,MINERACAO,52
2017/2018,4,0.09,AM,MINERACAO,1
2017/2018,4,1.13,MT,MINERACAO,10
2017/2018,4,8.51,PA,MINERACAO,84
2017/2018,5,1,AM,MINERACAO,8
2017/2018,5,0.78,MT,MINERACAO,10
2017/2018,5,17.39,PA,MINERACAO,180
2025/2026,8,0.92,MT,MINERACAO,11
2017/2018,5,0.37,RO,MINERACAO,2
2017/2018,6,0.65,AM,MINERACAO,7
2017/2018,6,2.67,MT,MINERACAO,28
2017/2018,6,10.78,PA,MINERACAO,123
2017/2018,6,0.16,RO,MINERACAO,2
2017/2018,7,0.08,AM,MINERACAO,1
2017/2018,7,0.33,MT,MINERACAO,3
2017/2018,7,8.99,PA,MINERACAO,88
2017/2018,7,0.36,RO,MINERACAO,1
2025/2026,8,2.24,AP,MINERACAO,22
2025/2026,8,0.74,AM,MINERACAO,8
2018/2019,8,0.24,MT,MINERACAO,4
2018/2019,8,8.85,PA,MINERACAO,108
2018/2019,9,2.04,AM,MINERACAO,18
2018/2019,9,0.31,MT,MINERACAO,5
2018/2019,9,2.63,PA,MINERACAO,33
2018/2019,9,0.27,RO,MINERACAO,4
2018/2019,10,0.16,MT,MINERACAO,3
2018/2019,10,6.52,PA,MINERACAO,68
2018/2019,11,0.22,PA,MINERACAO,2
2018/2019,12,0.1,MT,MINERACAO,1
2018/2019,12,0.14,PA,MINERACAO,3
2018/2019,12,0.16,RO,MINERACAO,2
2018/2019,1,0.06,MT,MINERACAO,1
2018/2019,1,0.54,PA,MINERACAO,6
2018/2019,2,0.08,AM,MINERACAO,1
2018/2019,2,0.23,AP,MINERACAO,1
2024/2025,7,0.3,RO,MINERACAO,3
2018/2019,2,0.21,MT,MINERACAO,1
2018/2019,2,3.66,PA,MINERACAO,42
2018/2019,2,1.08,RR,MINERACAO,9
2018/2019,3,0.26,MT,MINERACAO,3
2018/2019,3,1.24,PA,MINERACAO,16
2018/2019,3,0.08,RO,MINERACAO,1
2024/2025,7,4.77,PA,MINERACAO,62
2018/2019,4,0.42,AM,MINERACAO,6
2018/2019,4,0.65,MT,MINERACAO,5
2018/2019,4,2.45,PA,MINERACAO,29
2018/2019,4,0.17,RO,MINERACAO,1
2018/2019,5,0.17,AM,MINERACAO,2
2018/2019,5,1.51,MT,MINERACAO,18
2024/2025,7,1.74,MT,MINERACAO,22
2018/2019,5,32.62,PA,MINERACAO,325
2018/2019,5,0.17,RO,MINERACAO,2
2018/2019,6,0.62,AM,MINERACAO,6
2018/2019,6,2.15,MT,MINERACAO,25
2018/2019,6,9.72,PA,MINERACAO,96
2018/2019,6,0.07,RO,MINERACAO,1
2018/2019,7,2.12,AM,MINERACAO,13
2018/2019,7,1.69,MT,MINERACAO,20
2018/2019,7,20.08,PA,MINERACAO,200
2024/2025,7,0.16,AP,MINERACAO,2
2018/2019,7,0.09,RO,MINERACAO,1
2019/2020,8,0,AM,MINERACAO,1
2024/2025,7,2.2,AM,MINERACAO,23
2019/2020,8,1.01,MT,MINERACAO,8
2024/2025,10,0.66,AP,MINERACAO,8
2019/2020,8,0.64,RO,MINERACAO,5
2019/2020,9,0.26,AM,MINERACAO,3
2019/2020,9,3.41,PA,MINERACAO,36
2019/2020,9,0.17,RR,MINERACAO,1
2019/2020,10,0.07,AM,MINERACAO,1
2019/2020,10,0.14,MT,MINERACAO,1
2019/2020,10,2.66,PA,MINERACAO,36
2019/2020,10,0.1,RR,MINERACAO,1
2019/2020,11,0.11,AM,MINERACAO,1
2019/2020,11,6.96,PA,MINERACAO,68
2019/2020,12,0.48,MT,MINERACAO,9
2019/2020,12,1.36,PA,MINERACAO,17
2019/2020,12,0.08,RO,MINERACAO,1
2019/2020,12,0.61,RR,MINERACAO,2
2019/2020,1,0.14,MT,MINERACAO,1
2019/2020,1,4.84,PA,MINERACAO,49
2019/2020,1,0.12,RR,MINERACAO,1
2024/2025,6,3.48,PA,MINERACAO,43
2019/2020,2,0.12,AM,MINERACAO,3
2019/2020,2,0.52,MT,MINERACAO,4
2019/2020,2,2.73,PA,MINERACAO,30
2019/2020,2,0.19,RO,MINERACAO,2
2019/2020,2,0.42,RR,MINERACAO,4
2024/2025,6,0.88,MT,MINERACAO,11
2019/2020,3,1.06,AM,MINERACAO,11
2019/2020,3,0.07,MA,MINERACAO,1
2019/2020,3,2.56,PA,MINERACAO,31
2019/2020,4,0.07,AM,MINERACAO,1
2019/2020,4,1.13,MT,MINERACAO,12
2019/2020,4,4.19,PA,MINERACAO,47
2019/2020,5,1.14,AM,MINERACAO,10
2019/2020,5,0.29,AP,MINERACAO,2
2019/2020,5,0.27,MT,MINERACAO,4
2019/2020,5,5.89,PA,MINERACAO,66
2024/2025,6,0.35,AM,MINERACAO,4
2019/2020,5,0.09,RO,MINERACAO,1
2019/2020,6,1.19,AM,MINERACAO,13
2019/2020,6,0.2,MA,MINERACAO,3
2019/2020,6,0.91,MT,MINERACAO,11
2019/2020,6,19.41,PA,MINERACAO,204
2019/2020,6,0.14,RO,MINERACAO,1
2019/2020,7,0.38,AM,MINERACAO,5
2019/2020,7,0.24,MA,MINERACAO,3
2019/2020,7,1.4,MT,MINERACAO,18
2019/2020,7,21.53,PA,MINERACAO,251
2019/2020,7,0.1,RO,MINERACAO,1
2024/2025,5,0.43,RO,MINERACAO,4
2020/2021,8,1.36,AM,MINERACAO,13
2020/2021,8,0.14,MA,MINERACAO,1
2020/2021,8,1.27,MT,MINERACAO,14
2020/2021,8,12.8,PA,MINERACAO,155
2020/2021,8,0.22,RO,MINERACAO,2
2020/2021,9,1.76,AM,MINERACAO,16
2024/2025,5,6.37,PA,MINERACAO,72
2020/2021,9,0.09,AP,MINERACAO,1
2020/2021,9,0.24,MT,MINERACAO,3
2020/2021,9,4.46,PA,MINERACAO,59
2020/2021,9,0.07,RO,MINERACAO,1
2020/2021,9,0.58,RR,MINERACAO,4
2020/2021,10,0.3,AM,MINERACAO,4
2024/2025,5,5.01,MT,MINERACAO,48
2020/2021,10,1.07,MT,MINERACAO,6
2020/2021,10,1.12,PA,MINERACAO,19
2020/2021,10,0.15,RO,MINERACAO,2
2020/2021,10,0.1,RR,MINERACAO,1
2020/2021,11,0.07,AM,MINERACAO,1
2020/2021,11,0.14,MT,MINERACAO,3
2020/2021,11,0.26,PA,MINERACAO,4
2020/2021,11,0.08,RO,MINERACAO,1
2020/2021,12,0.13,AM,MINERACAO,1
2020/2021,12,2.37,PA,MINERACAO,28
2024/2025,5,1.24,AM,MINERACAO,13
2020/2021,1,0.29,PA,MINERACAO,3
2020/2021,1,0.28,RR,MINERACAO,2
2020/2021,2,0.38,AM,MINERACAO,4
2020/2021,2,1.83,PA,MINERACAO,8
2020/2021,3,0.12,MT,MINERACAO,2
2020/2021,3,6.05,PA,MINERACAO,65
2020/2021,4,0.94,AM,MINERACAO,9
2020/2021,4,0.31,MT,MINERACAO,3
2020/2021,4,8.32,PA,MINERACAO,91
2020/2021,4,0.22,RO,MINERACAO,1
2020/2021,4,0.08,RR,MINERACAO,1
2020/2021,5,0.92,AM,MINERACAO,11
2020/2021,5,0.32,MA,MINERACAO,3
2020/2021,5,2.89,MT,MINERACAO,27
2020/2021,5,33.39,PA,MINERACAO,344
2020/2021,5,0.42,RO,MINERACAO,7
2020/2021,6,0.59,AM,MINERACAO,6
2024/2025,4,1.49,PA,MINERACAO,14
2020/2021,6,0.25,AP,MINERACAO,2
2020/2021,6,1.32,MT,MINERACAO,14
2020/2021,6,21.68,PA,MINERACAO,245
2020/2021,6,0.55,RO,MINERACAO,7
2024/2025,4,0.16,MT,MINERACAO,2
2020/2021,6,0.08,RR,MINERACAO,1
2020/2021,7,1.11,AM,MINERACAO,14
2020/2021,7,0.2,MA,MINERACAO,1
2020/2021,7,1.55,MT,MINERACAO,19
2020/2021,7,13.05,PA,MINERACAO,156
2020/2021,7,0.11,RO,MINERACAO,1
2021/2022,8,4.14,AM,MINERACAO,41
2021/2022,8,0.26,AP,MINERACAO,4
2021/2022,8,0.16,MT,MINERACAO,1
2021/2022,8,2.64,PA,MINERACAO,39
2024/2025,4,0.83,AM,MINERACAO,7
2021/2022,9,2.16,AM,MINERACAO,14
2021/2022,9,0.08,AP,MINERACAO,1
2021/2022,9,0.18,MT,MINERACAO,2
2021/2022,9,3.5,PA,MINERACAO,42
2021/2022,9,0.57,RR,MINERACAO,5
2021/2022,10,2.63,AM,MINERACAO,23
2021/2022,10,0.2,AP,MINERACAO,2
2021/2022,10,5.69,PA,MINERACAO,68
2021/2022,11,0.54,PA,MINERACAO,7
2021/2022,12,0.18,AM,MINERACAO,2
2021/2022,12,0.07,AP,MINERACAO,1
2021/2022,12,0.89,PA,MINERACAO,7
2021/2022,12,0.17,RR,MINERACAO,2
2024/2025,3,0.12,RO,MINERACAO,1
2021/2022,1,0.34,AM,MINERACAO,3
2021/2022,1,3.07,PA,MINERACAO,34
2021/2022,1,0.07,RO,MINERACAO,1
2024/2025,3,2.88,PA,MINERACAO,30
2021/2022,2,2.47,PA,MINERACAO,27
2021/2022,3,0.3,MT,MINERACAO,5
2021/2022,3,2.17,PA,MINERACAO,17
2021/2022,4,0.42,AM,MINERACAO,7
2021/2022,4,0.46,MT,MINERACAO,5
2024/2025,3,0.45,MT,MINERACAO,5
2021/2022,4,7.72,PA,MINERACAO,80
2021/2022,4,0.26,RR,MINERACAO,3
2021/2022,5,0.4,AM,MINERACAO,5
2021/2022,5,0.31,MA,MINERACAO,2
2021/2022,5,0.07,MT,MINERACAO,1
2024/2025,10,0.17,AM,MINERACAO,2
2021/2022,5,0.19,RR,MINERACAO,2
2024/2025,3,0.1,AM,MINERACAO,1
2021/2022,6,3.99,AM,MINERACAO,22
2021/2022,6,0.11,MA,MINERACAO,1
2021/2022,6,0.06,MT,MINERACAO,1
2021/2022,6,6.99,PA,MINERACAO,77
2021/2022,6,0.08,RO,MINERACAO,1
2021/2022,6,0.54,RR,MINERACAO,2
2021/2022,7,1.91,AM,MINERACAO,18
2021/2022,7,0.53,AP,MINERACAO,3
2021/2022,7,0.33,MA,MINERACAO,2
2021/2022,7,0.45,MT,MINERACAO,5
2021/2022,7,8.65,PA,MINERACAO,92
2021/2022,7,0.11,RO,MINERACAO,1
2022/2023,8,1.24,AM,MINERACAO,13
2022/2023,8,4.09,PA,MINERACAO,46
2022/2023,8,0.46,RR,MINERACAO,5
2022/2023,9,1.26,PA,MINERACAO,16
2022/2023,10,0.14,AM,MINERACAO,2
2022/2023,10,0.18,AP,MINERACAO,2
2022/2023,10,1.23,PA,MINERACAO,13
2022/2023,11,0.35,AM,MINERACAO,4
2022/2023,11,0.15,AP,MINERACAO,1
2022/2023,11,0.27,MT,MINERACAO,1
2022/2023,11,2.38,PA,MINERACAO,30
2022/2023,11,0.87,RO,MINERACAO,7
2022/2023,11,0.29,RR,MINERACAO,2
2022/2023,12,0.63,AM,MINERACAO,7
2022/2023,12,0.44,PA,MINERACAO,4
2022/2023,1,0.22,AM,MINERACAO,2
2022/2023,1,0.13,AP,MINERACAO,1
2022/2023,1,1.53,PA,MINERACAO,13
2022/2023,2,0.4,AM,MINERACAO,6
2024/2025,1,0.54,PA,MINERACAO,6
2022/2023,2,8.49,PA,MINERACAO,76
2022/2023,2,0.26,RR,MINERACAO,3
2022/2023,3,2.18,AM,MINERACAO,15
2022/2023,3,0.58,AP,MINERACAO,8
2024/2025,1,1.11,MT,MINERACAO,6
2022/2023,3,0.41,MT,MINERACAO,6
2022/2023,3,5.19,PA,MINERACAO,57
2022/2023,3,1.92,RR,MINERACAO,18
2022/2023,4,0.96,AM,MINERACAO,8
2022/2023,4,0.79,MT,MINERACAO,7
2022/2023,4,4.01,PA,MINERACAO,41
2022/2023,4,1.24,RR,MINERACAO,13
2022/2023,5,0.52,AM,MINERACAO,7
2024/2025,1,1.12,AM,MINERACAO,7
2022/2023,5,1.57,AP,MINERACAO,14
2022/2023,5,0.61,MT,MINERACAO,9
2022/2023,5,9.02,PA,MINERACAO,93
2022/2023,5,0.11,RO,MINERACAO,1
2022/2023,5,0.11,RR,MINERACAO,1
2022/2023,6,3.04,AM,MINERACAO,31
2022/2023,6,1.29,AP,MINERACAO,15
2022/2023,6,0.95,MT,MINERACAO,13
2022/2023,6,15.24,PA,MINERACAO,174
2022/2023,6,0.08,RO,MINERACAO,1
2022/2023,7,5.03,AM,MINERACAO,39
2022/2023,7,0.58,MT,MINERACAO,6
2022/2023,7,4.23,PA,MINERACAO,57
2023/2024,8,3.45,AM,MINERACAO,27
2024/2025,12,0.14,PA,MINERACAO,2
2023/2024,8,1.07,AP,MINERACAO,11
2023/2024,8,0.09,MA,MINERACAO,1
2023/2024,8,0.54,MT,MINERACAO,6
2023/2024,8,1.28,PA,MINERACAO,14
2023/2024,8,0.09,RR,MINERACAO,1
2023/2024,9,10.91,AM,MINERACAO,81
2023/2024,9,1.41,AP,MINERACAO,10
2023/2024,9,0.32,MT,MINERACAO,5
2023/2024,9,2.36,PA,MINERACAO,25
2023/2024,10,1.33,AM,MINERACAO,10
2023/2024,10,0.16,AP,MINERACAO,2
2023/2024,10,0.1,MT,MINERACAO,1
2024/2025,12,0.16,AM,MINERACAO,2
2023/2024,10,2.98,PA,MINERACAO,24
2023/2024,11,0.27,AM,MINERACAO,3
2023/2024,11,0.07,AP,MINERACAO,1
2023/2024,11,0.06,MT,MINERACAO,1
2023/2024,11,0.14,PA,MINERACAO,2
2023/2024,11,0.11,RO,MINERACAO,1
2023/2024,12,0.31,AM,MINERACAO,3
2023/2024,12,0.35,AP,MINERACAO,4
2023/2024,12,0.78,MT,MINERACAO,6
2023/2024,12,0.8,PA,MINERACAO,10
2023/2024,1,0.64,AM,MINERACAO,6
2023/2024,1,0.25,PA,MINERACAO,3
2023/2024,1,0.47,RR,MINERACAO,6
2024/2025,11,0.54,PA,MINERACAO,7
2023/2024,2,0.33,AM,MINERACAO,3
2023/2024,2,0.6,AP,MINERACAO,7
2023/2024,2,0.78,MT,MINERACAO,10
2023/2024,2,1.81,PA,MINERACAO,20
2023/2024,2,0.13,RR,MINERACAO,2
2023/2024,3,0.44,MT,MINERACAO,6
2023/2024,3,1.08,PA,MINERACAO,14
2023/2024,3,0.08,RR,MINERACAO,2
2023/2024,4,0.11,AM,MINERACAO,1
2023/2024,4,0.49,AP,MINERACAO,5
2023/2024,4,2.4,MT,MINERACAO,24
2023/2024,4,1.95,PA,MINERACAO,21
2023/2024,4,0.22,RO,MINERACAO,2
2023/2024,4,0.08,RR,MINERACAO,1
2024/2025,11,0.55,AP,MINERACAO,7
2023/2024,5,1.28,AM,MINERACAO,13
2023/2024,5,0.31,AP,MINERACAO,3
2023/2024,5,0.12,MA,MINERACAO,1
2024/2025,11,0.1,AM,MINERACAO,1
2023/2024,5,2.17,MT,MINERACAO,29
2023/2024,5,11.25,PA,MINERACAO,125
2023/2024,5,0.53,RO,MINERACAO,6
2023/2024,6,0.14,AC,MINERACAO,1
2023/2024,6,3.71,AM,MINERACAO,31
2023/2024,6,1.34,AP,MINERACAO,13
2023/2024,6,1.18,MT,MINERACAO,14
2023/2024,6,11.88,PA,MINERACAO,138
2023/2024,6,0.08,RO,MINERACAO,1
2023/2024,6,0.07,RR,MINERACAO,1
2023/2024,7,2.41,AM,MINERACAO,25
2023/2024,7,0.5,AP,MINERACAO,8
2023/2024,7,0.57,MT,MINERACAO,8
2023/2024,7,7.76,PA,MINERACAO,112
2023/2024,7,0.11,RO,MINERACAO,1
2024/2025,8,0.7,AM,MINERACAO,7
2024/2025,8,0.26,AP,MINERACAO,3
2024/2025,8,0.53,MT,MINERACAO,6
2024/2025,10,0.96,PA,MINERACAO,10
2024/2025,8,1.08,PA,MINERACAO,14
2024/2025,8,0.17,RR,MINERACAO,1
2024/2025,9,0.33,AM,MINERACAO,4
2024/2025,9,0.29,AP,MINERACAO,4
2024/2025,9,0.59,MT,MINERACAO,5
2024/2025,10,0.19,MT,MINERACAO,1
2024/2025,9,1.05,PA,MINERACAO,16
2021/2022,5,8.48,PA,MINERACAO,104
2018/2019,4,2.37,AC,DESMATAMENTO_VEG,22
2015/2016,11,1.08,PA,DESMATAMENTO_VEG,5
2017/2018,7,6.26,AM,DESMATAMENTO_VEG,55
2017/2018,7,0.47,AP,DESMATAMENTO_VEG,3
2017/2018,7,0.23,MA,DESMATAMENTO_VEG,1
2015/2016,6,4.84,AM,DESMATAMENTO_VEG,34
2015/2016,9,2.44,RR,DESMATAMENTO_VEG,20
2017/2018,7,1.25,MT,DESMATAMENTO_VEG,2
2025/2026,8,0.29,MA,DESMATAMENTO_VEG,1
2017/2018,7,8.31,PA,DESMATAMENTO_VEG,53
2015/2016,6,5.4,MT,DESMATAMENTO_VEG,28
2017/2018,7,1.86,RO,DESMATAMENTO_VEG,8
2025/2026,9,1.24,RR,DESMATAMENTO_VEG,4
2017/2018,7,3.2,RR,DESMATAMENTO_VEG,13
2018/2019,8,2.76,AC,DESMATAMENTO_VEG,30
2018/2019,8,4.64,AM,DESMATAMENTO_VEG,52
2018/2019,8,0.06,AP,DESMATAMENTO_VEG,1
2015/2016,6,132.51,PA,DESMATAMENTO_VEG,356
2018/2019,8,1.63,MA,DESMATAMENTO_VEG,12
2018/2019,8,2.44,MT,DESMATAMENTO_VEG,18
2017/2018,6,5.77,RO,DESMATAMENTO_VEG,22
2025/2026,8,0.74,AM,DESMATAMENTO_VEG,5
2018/2019,8,4.52,PA,DESMATAMENTO_VEG,48
2018/2019,8,4.5,RO,DESMATAMENTO_VEG,17
2018/2019,8,1.64,RR,DESMATAMENTO_VEG,12
2015/2016,6,4.79,RO,DESMATAMENTO_VEG,27
2018/2019,9,1.22,AC,DESMATAMENTO_VEG,13
2018/2019,9,6.18,AM,DESMATAMENTO_VEG,65
2018/2019,9,1.32,MT,DESMATAMENTO_VEG,5
2015/2016,6,0.12,RR,DESMATAMENTO_VEG,1
2018/2019,9,1.42,PA,DESMATAMENTO_VEG,17
2015/2016,10,0.94,AC,DESMATAMENTO_VEG,9
2024/2025,9,0.31,PA,DESMATAMENTO_VEG,1
2018/2019,9,0.24,RO,DESMATAMENTO_VEG,3
2015/2016,6,10.07,TO,DESMATAMENTO_VEG,1
2018/2019,9,1.79,RR,DESMATAMENTO_VEG,11
